comune,candidato,lista,voti
ARNAD,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",170
ARNAD,"LARISA BARGAN",VITA,5
ARVIER,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",4
ARVIER,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",141
ARVIER,"DARIA PULZ","VALLE D'AOSTA APERTA",45
ARVIER,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
ARVIER,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",4
ARVIER,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",82
ARVIER,"LARISA BARGAN",VITA,8
AVISE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",0
AVISE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",95
AVISE,"DARIA PULZ","VALLE D'AOSTA APERTA",12
AVISE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
AVISE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",3
AVISE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",27
AVISE,"LARISA BARGAN",VITA,1
AYAS,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",8
AYAS,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",174
AYAS,"DARIA PULZ","VALLE D'AOSTA APERTA",40
AYAS,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",7
AYAS,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",10
AYAS,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",301
AYAS,"LARISA BARGAN",VITA,3
AYMAVILLES,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",18
AYMAVILLES,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",335
AYMAVILLES,"DARIA PULZ","VALLE D'AOSTA APERTA",104
AYMAVILLES,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",38
AYMAVILLES,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",11
AYMAVILLES,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",281
AYMAVILLES,"LARISA BARGAN",VITA,10
BARD,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
BARD,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",13
BARD,"DARIA PULZ","VALLE D'AOSTA APERTA",2
BARD,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
BARD,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",1
BARD,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",17
BARD,"LARISA BARGAN",VITA,0
BIONAZ,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
BIONAZ,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",27
BIONAZ,"DARIA PULZ","VALLE D'AOSTA APERTA",2
BIONAZ,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",0
BIONAZ,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",1
BIONAZ,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",40
BIONAZ,"LARISA BARGAN",VITA,2
BRISSOGNE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",12
BRISSOGNE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",145
BRISSOGNE,"DARIA PULZ","VALLE D'AOSTA APERTA",63
BRISSOGNE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",16
BRISSOGNE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",9
BRISSOGNE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",146
BRISSOGNE,"LARISA BARGAN",VITA,6
BRUSSON,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",2
BRUSSON,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",124
BRUSSON,"DARIA PULZ","VALLE D'AOSTA APERTA",23
BRUSSON,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",7
BRUSSON,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",12
BRUSSON,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",142
BRUSSON,"LARISA BARGAN",VITA,5
CHALLAND-SAINT-ANSELME,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",5
CHALLAND-SAINT-ANSELME,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",88
CHALLAND-SAINT-ANSELME,"DARIA PULZ","VALLE D'AOSTA APERTA",32
CHALLAND-SAINT-ANSELME,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",11
CHALLAND-SAINT-ANSELME,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",6
CHALLAND-SAINT-ANSELME,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",108
CHALLAND-SAINT-ANSELME,"LARISA BARGAN",VITA,6
CHALLAND-SAINT-VICTOR,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",3
CHALLAND-SAINT-VICTOR,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",56
CHALLAND-SAINT-VICTOR,"DARIA PULZ","VALLE D'AOSTA APERTA",19
CHALLAND-SAINT-VICTOR,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",5
CHALLAND-SAINT-VICTOR,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",4
CHALLAND-SAINT-VICTOR,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",91
CHALLAND-SAINT-VICTOR,"LARISA BARGAN",VITA,4
CHAMBAVE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",4
CHAMBAVE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",204
CHAMBAVE,"DARIA PULZ","VALLE D'AOSTA APERTA",23
CHAMBAVE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",9
CHAMBAVE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",11
CHAMBAVE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",115
CHAMBAVE,"LARISA BARGAN",VITA,2
CHAMOIS,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",2
CHAMOIS,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",17
CHAMOIS,"DARIA PULZ","VALLE D'AOSTA APERTA",6
CHAMOIS,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
CHAMOIS,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",1
CHAMOIS,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",23
CHAMOIS,"LARISA BARGAN",VITA,2
CHAMPDEPRAZ,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",5
CHAMPDEPRAZ,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",98
CHAMPDEPRAZ,"DARIA PULZ","VALLE D'AOSTA APERTA",31
CHAMPDEPRAZ,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",4
CHAMPDEPRAZ,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",11
CHAMPDEPRAZ,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",118
CHAMPDEPRAZ,"LARISA BARGAN",VITA,3
CHAMPORCHER,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",6
CHAMPORCHER,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",51
CHAMPORCHER,"DARIA PULZ","VALLE D'AOSTA APERTA",20
CHAMPORCHER,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
CHAMPORCHER,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",8
CHAMPORCHER,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",51
CHAMPORCHER,"LARISA BARGAN",VITA,2
CHARVENSOD,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",29
CHARVENSOD,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",331
CHARVENSOD,"DARIA PULZ","VALLE D'AOSTA APERTA",96
CHARVENSOD,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",45
CHARVENSOD,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",24
CHARVENSOD,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",338
CHARVENSOD,"LARISA BARGAN",VITA,21
CHATILLON,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",28
CHATILLON,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",582
CHATILLON,"DARIA PULZ","VALLE D'AOSTA APERTA",162
CHATILLON,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",61
CHATILLON,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",58
CHATILLON,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",741
CHATILLON,"LARISA BARGAN",VITA,28
COGNE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",9
COGNE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",135
COGNE,"DARIA PULZ","VALLE D'AOSTA APERTA",48
COGNE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",14
COGNE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",10
COGNE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",246
COGNE,"LARISA BARGAN",VITA,9
COURMAYEUR,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",9
COURMAYEUR,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",302
COURMAYEUR,"DARIA PULZ","VALLE D'AOSTA APERTA",65
COURMAYEUR,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",23
COURMAYEUR,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",18
COURMAYEUR,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",617
COURMAYEUR,"LARISA BARGAN",VITA,7
DONNAS,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",33
DONNAS,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",435
DONNAS,"DARIA PULZ","VALLE D'AOSTA APERTA",102
DONNAS,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",28
DONNAS,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",31
DONNAS,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",307
DONNAS,"LARISA BARGAN",VITA,14
DOUES,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",2
DOUES,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",183
DOUES,"DARIA PULZ","VALLE D'AOSTA APERTA",17
DOUES,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",4
DOUES,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",2
DOUES,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",62
DOUES,"LARISA BARGAN",VITA,4
EMARESE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",3
EMARESE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",33
EMARESE,"DARIA PULZ","VALLE D'AOSTA APERTA",5
EMARESE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
EMARESE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",6
EMARESE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",19
EMARESE,"LARISA BARGAN",VITA,3
ETROUBLES,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
ETROUBLES,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",95
ETROUBLES,"DARIA PULZ","VALLE D'AOSTA APERTA",10
ETROUBLES,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",6
ETROUBLES,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",6
ETROUBLES,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",60
ETROUBLES,"LARISA BARGAN",VITA,2
FENIS,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",12
FENIS,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",247
FENIS,"DARIA PULZ","VALLE D'AOSTA APERTA",64
FENIS,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",24
FENIS,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",19
FENIS,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",197
FENIS,"LARISA BARGAN",VITA,25
FONTAINEMORE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",4
FONTAINEMORE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",38
FONTAINEMORE,"DARIA PULZ","VALLE D'AOSTA APERTA",14
FONTAINEMORE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",4
FONTAINEMORE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",4
FONTAINEMORE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",44
FONTAINEMORE,"LARISA BARGAN",VITA,1
GABY,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",4
GABY,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",70
GABY,"DARIA PULZ","VALLE D'AOSTA APERTA",21
GABY,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",1
GABY,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",4
GABY,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",70
GABY,"LARISA BARGAN",VITA,0
GIGNOD,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",20
GIGNOD,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",296
GIGNOD,"DARIA PULZ","VALLE D'AOSTA APERTA",89
GIGNOD,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",20
GIGNOD,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",17
GIGNOD,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",210
GIGNOD,"LARISA BARGAN",VITA,14
GRESSAN,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",28
GRESSAN,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",498
GRESSAN,"DARIA PULZ","VALLE D'AOSTA APERTA",207
GRESSAN,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",28
GRESSAN,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",29
GRESSAN,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",521
GRESSAN,"LARISA BARGAN",VITA,31
GRESSONEY-LA-TRINITE',"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
GRESSONEY-LA-TRINITE',"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",57
GRESSONEY-LA-TRINITE',"DARIA PULZ","VALLE D'AOSTA APERTA",10
GRESSONEY-LA-TRINITE',"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",4
GRESSONEY-LA-TRINITE',"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",0
GRESSONEY-LA-TRINITE',"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",40
GRESSONEY-LA-TRINITE',"LARISA BARGAN",VITA,5
GRESSONEY-SAINT-JEAN,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",10
GRESSONEY-SAINT-JEAN,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",94
GRESSONEY-SAINT-JEAN,"DARIA PULZ","VALLE D'AOSTA APERTA",30
GRESSONEY-SAINT-JEAN,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",5
GRESSONEY-SAINT-JEAN,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",0
GRESSONEY-SAINT-JEAN,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",158
GRESSONEY-SAINT-JEAN,"LARISA BARGAN",VITA,5
HONE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",12
HONE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",175
HONE,"DARIA PULZ","VALLE D'AOSTA APERTA",57
HONE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",9
HONE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",19
HONE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",179
HONE,"LARISA BARGAN",VITA,8
INTROD,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
INTROD,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",140
INTROD,"DARIA PULZ","VALLE D'AOSTA APERTA",27
INTROD,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",2
INTROD,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",4
INTROD,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",77
INTROD,"LARISA BARGAN",VITA,5
ISSIME,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",7
ISSIME,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",53
ISSIME,"DARIA PULZ","VALLE D'AOSTA APERTA",10
ISSIME,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",1
ISSIME,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",2
ISSIME,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",58
ISSIME,"LARISA BARGAN",VITA,3
ISSOGNE,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",19
ISSOGNE,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",175
ISSOGNE,"DARIA PULZ","VALLE D'AOSTA APERTA",51
ISSOGNE,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",14
ISSOGNE,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",12
ISSOGNE,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",177
ISSOGNE,"LARISA BARGAN",VITA,9
JOVENCAN,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",5
JOVENCAN,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",110
JOVENCAN,"DARIA PULZ","VALLE D'AOSTA APERTA",31
JOVENCAN,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",14
JOVENCAN,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",7
JOVENCAN,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",91
JOVENCAN,"LARISA BARGAN",VITA,1
"LA MAGDELEINE","GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",2
"LA MAGDELEINE","PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",13
"LA MAGDELEINE","DARIA PULZ","VALLE D'AOSTA APERTA",8
"LA MAGDELEINE","ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",0
